date,api_card_id,card_name,set,image_url,printing,market_price,low_price,median_price,last_updated
2026-04-12,38149,Gloria,Brilliant Stars,https://product-images.tcgplayer.com/fit-in/400x400/264229.jpg,Foil,5.75,3.83,,2026-02-19T03:04:05.509Z
2026-04-12,21328,Cyllene,Astral Radiance,https://product-images.tcgplayer.com/fit-in/400x400/272433.jpg,Foil,1.61,1.0,,2026-02-19T02:46:03.315Z
2026-04-12,21282,Gardenia’s Vigor,Astral Radiance,https://product-images.tcgplayer.com/fit-in/400x400/272434.jpg,Foil,6.03,4.0,,2026-02-19T02:46:03.315Z
2026-04-12,21289,Irida,Astral Radiance,https://product-images.tcgplayer.com/fit-in/400x400/272436.jpg,Foil,10.51,6.14,,2026-02-19T02:46:03.315Z
2026-04-12,21279,Roxanne,Astral Radiance,https://product-images.tcgplayer.com/fit-in/400x400/272438.jpg,Foil,4.98,3.0,,2026-02-19T02:46:01.358Z
2026-04-12,21357,Zisu,Astral Radiance,https://product-images.tcgplayer.com/fit-in/400x400/272439.jpg,Foil,1.52,0.99,,2026-02-19T02:46:05.750Z
2026-04-12,38091,Bea,Astral Radiance,https://product-images.tcgplayer.com/fit-in/400x400/272497.jpg,Foil,4.68,3.0,,2026-02-19T03:04:00.755Z
2026-04-12,38086,Melony,Astral Radiance,https://product-images.tcgplayer.com/fit-in/400x400/272498.jpg,Foil,3.87,2.5,,2026-02-19T03:04:00.755Z
2026-04-12,19133,Arezu,Lost Origin,https://product-images.tcgplayer.com/fit-in/400x400/284141.jpg,Holofoil,3.41,2.25,,2026-04-11T08:09:02.893Z
2026-04-12,19184,Fantina,Lost Origin,https://product-images.tcgplayer.com/fit-in/400x400/284144.jpg,Holofoil,2.91,1.24,,2026-04-11T08:09:02.893Z
2026-04-12,19152,Lady,Lost Origin,https://product-images.tcgplayer.com/fit-in/400x400/284146.jpg,Holofoil,4.41,2.75,,2026-04-11T08:09:02.893Z
2026-04-12,19209,Miss Fortune Sisters,Lost Origin,https://product-images.tcgplayer.com/fit-in/400x400/284147.jpg,Holofoil,3.29,1.96,,2026-04-11T08:09:02.893Z
2026-04-12,38116,Adventurer’s Discovery,Lost Origin,https://product-images.tcgplayer.com/fit-in/400x400/284296.jpg,Foil,3.08,1.9,,2026-02-19T03:04:03.022Z
2026-04-12,38115,Nessa,Lost Origin,https://product-images.tcgplayer.com/fit-in/400x400/284300.jpg,Foil,9.42,7.0,,2026-02-19T03:04:03.022Z
2026-04-12,38118,Opal,Lost Origin,https://product-images.tcgplayer.com/fit-in/400x400/284301.jpg,Foil,1.36,0.7,,2026-02-19T03:04:03.022Z
2026-04-12,21552,Candice,Silver Tempest,https://product-images.tcgplayer.com/fit-in/400x400/451837.jpg,Foil,5.64,3.99,,2026-02-19T02:46:17.144Z
2026-04-12,21573,Furisode Girl,Silver Tempest,https://product-images.tcgplayer.com/fit-in/400x400/451838.jpg,Foil,4.8,2.99,,2026-02-19T02:46:17.144Z
2026-04-12,21550,Serena,Silver Tempest,https://product-images.tcgplayer.com/fit-in/400x400/451841.jpg,Foil,12.46,8.0,,2026-02-19T02:46:17.144Z
2026-04-12,21512,Worker,Silver Tempest,https://product-images.tcgplayer.com/fit-in/400x400/451843.jpg,Foil,2.52,1.84,,2026-02-19T02:46:14.959Z
2026-04-12,38175,Professor Burnet,Silver Tempest,https://product-images.tcgplayer.com/fit-in/400x400/452044.jpg,Foil,3.53,2.5,,2026-02-19T03:04:07.887Z
2026-04-12,24196,Elesa’s Sparkle,Crown Zenith,https://product-images.tcgplayer.com/fit-in/400x400/477241.jpg,Foil,15.36,11.2,,2026-02-19T02:48:45.310Z
